name,default_value
AccumulatedAnnualDemand,0
AnnualEmissionLimit,99999
AnnualExogenousEmission,0
AvailabilityFactor,1
CapacityFactor,1
CapacityOfOneTechnologyUnit,0
CapacityToActivityUnit,1
CapitalCost,0
CapitalCostStorage,0
Conversionld,0
Conversionlh,0
Conversionls,0
DaysInDayType,7
DaySplit,0.00137
DepreciationMethod,1
DiscountRate,0.05
EmissionActivityRatio,0
EmissionsPenalty,0
FixedCost,0
InputActivityRatio,0
MinStorageCharge,0
ModelPeriodEmissionLimit,99999
ModelPeriodExogenousEmission,0
OperationalLife,1
OperationalLifeStorage,99
OutputActivityRatio,0
REMinProductionTarget,0
ReserveMargin,1
ReserveMarginTagFuel,0
ReserveMarginTagTechnology,0
ResidualCapacity,0
ResidualStorageCapacity,0
RETagFuel,0
RETagTechnology,0
SpecifiedAnnualDemand,0
SpecifiedDemandProfile,0
StorageLevelStart,1e-07
StorageMaxChargeRate,99999
StorageMaxDischargeRate,99999
TechnologyFromStorage,0
TechnologyToStorage,0
TotalAnnualMaxCapacity,99999
TotalAnnualMaxCapacityInvestment,99999
TotalAnnualMinCapacity,0
TotalAnnualMinCapacityInvestment,0
TotalTechnologyAnnualActivityLowerLimit,0
TotalTechnologyAnnualActivityUpperLimit,99999
TotalTechnologyModelPeriodActivityLowerLimit,0
TotalTechnologyModelPeriodActivityUpperLimit,99999
TradeRoute,0
VariableCost,0
YearSplit,0
